Year,Sum of Actual PM
1990,73.54015
1991,73.14813
1992,72.76378
1993,72.5017
1994,72.26992
1995,72.16381
1996,72.24994
1997,72.60724
1998,73.10773
1999,73.62082
2000,73.97194
2001,74.18698
2002,74.32963
2003,74.36056
2004,74.33443
2005,74.26212
2006,73.91355
2007,73.38309
2008,72.78793
2009,72.32939
2010,72.20679
2011,72.53074
2012,73.94012
2013,73.21009
2014,65.29709
2015,75.27622
2016,67.95034
2017,67.09942
2018,70.70165
2019,64.8911
2020,60.17896
2021,59.03368576
2022,57.88841152
2023,56.74313727
2024,55.59786303
